Vincent Kompany,MCI,6.3,,Defender,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 0 pts, Game vs. NEW H: 0 pts, Game vs. BOU H: 0 pts]",100.0,100.0,209,4.74214441907
Boaz Myhill,WBA,4.7,,Goalkeeper,"(NOR-A,LEI-H,MUN-A)","[Game vs. EVE H: 1 pts, Game vs. CRY A: 3 pts, Game vs. SUN H: 8 pts]",,,445,4.68997086975
Toby Alderweireld,TOT,5.2,,Defender,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 9 pts, Game vs. SWA A: 1 pts, Game vs. LIV H: 6 pts]",,,306,4.67587702864
Mame Biram Diouf,STK,6.4,Personal Reasons - 75% chance of playing,Forward,"(WAT-H,NEW-A,CHE-H)","[Game vs. BOU H: 7 pts, Game vs. AVL A: 2 pts, Game vs. SWA A: 0 pts]",0.0,75.0,371,4.66031782558
Sergio Agüero,MCI,13.1,Hamstring injury - Expected back 21 Nov,Forward,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 2 pts, Game vs. NEW H: 25 pts, Game vs. BOU H: 0 pts]",0.0,0.0,222,4.64705041126
Gnegneri Yaya Touré,MCI,8.6,,Midfielder,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 4 pts, Game vs. NEW H: 0 pts, Game vs. BOU H: 1 pts]",100.0,100.0,217,4.63049451771
Cheikhou Kouyaté,WHU,5.6,,Midfielder,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 8 pts, Game vs. SUN A: 2 pts, Game vs. CRY A: 2 pts]",100.0,100.0,478,4.6001632716
Nathan Redmond,NOR,5.6,,Midfielder,"(WBA-H,MCI-A,SWA-H)","[Game vs. WHU A: 6 pts, Game vs. LEI H: 1 pts, Game vs. NEW A: 7 pts]",,,285,4.59154112516
Hugo Lloris,TOT,5.0,,Goalkeeper,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 5 pts, Game vs. SWA A: 1 pts, Game vs. LIV H: 8 pts]",100.0,100.0,323,4.49469212185
Marko Arnautovic,STK,6.0,,Midfielder,"(WAT-H,NEW-A,CHE-H)","[Game vs. BOU H: 5 pts, Game vs. AVL A: 9 pts, Game vs. SWA A: 3 pts]",100.0,100.0,368,4.43656518063
Aaron Cresswell,WHU,5.6,,Defender,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 1 pts, Game vs. SUN A: 0 pts, Game vs. CRY A: 2 pts]",75.0,100.0,471,4.2972583629
Fernando Luiz Rosa,MCI,6.0,,Midfielder,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 2 pts, Game vs. NEW H: 5 pts, Game vs. BOU H: 2 pts]",100.0,100.0,219,4.29716118438
Eric Dier,TOT,5.2,,Defender,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 7 pts, Game vs. SWA A: 0 pts, Game vs. LIV H: 0 pts]",0.0,100.0,331,4.23143258419
Chris Smalling,MUN,6.3,,Defender,"(MCI-H,CRY-A,WBA-H)","[Game vs. SUN H: 7 pts, Game vs. ARS A: 1 pts, Game vs. EVE A: 11 pts]",,,228,4.16325327563
Jose Fonte,SOU,5.4,,Defender,"(LIV-A,BOU-H,SUN-A)","[Game vs. SWA H: 1 pts, Game vs. CHE A: 2 pts, Game vs. LEI H: 8 pts]",,,302,4.14717757398
Wes Hoolahan,NOR,5.2,,Midfielder,"(WBA-H,MCI-A,SWA-H)","[Game vs. WHU A: 5 pts, Game vs. LEI H: 2 pts, Game vs. NEW A: 1 pts]",100.0,100.0,286,4.03598556961
Jan Vertonghen,TOT,5.5,,Defender,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 2 pts, Game vs. SWA A: 0 pts, Game vs. LIV H: 7 pts]",,,328,4.00921036197
David Silva,MCI,10.0,Ankle injury - Expected back 31 Oct,Midfielder,"(MUN-A,NOR-H,AVL-A)","[Game vs. TOT A: 0 pts, Game vs. NEW H: 8 pts, Game vs. BOU H: 0 pts]",0.0,0.0,216,3.96382785105
Jack Butland,STK,4.6,,Goalkeeper,"(WAT-H,NEW-A,CHE-H)","[Game vs. BOU H: 3 pts, Game vs. AVL A: 6 pts, Game vs. SWA A: 6 pts]",,,353,3.9591948268
Christian Eriksen,TOT,8.3,,Midfielder,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 4 pts, Game vs. SWA A: 15 pts, Game vs. LIV H: 3 pts]",100.0,100.0,341,3.95896468504
